<Date>,<Close>,<Target>,<DayOfWeek>,<DayOfMonth>,<IsWeekend>,<IsStartOfWeek>,<PWA>,<PMA>
2013-01-01,1119,1061,1,1,0,0,1038.43,1017.33
2013-01-02,1061,1055,2,2,0,0,1054.43,1020.63
2013-01-06,1055,1058,6,6,1,0,1062.29,1022.03
2013-01-07,1058,1074,0,7,0,1,1069.43,1023.20
2013-01-08,1074,1055,1,8,0,0,1076.86,1024.53
2013-01-09,1055,1089,2,9,0,0,1081.71,1026.40
2013-01-13,1089,1125,6,13,1,0,1078.00,1027.90
2013-01-14,1125,1071,0,14,0,1,1073.00,1030.53
2013-01-15,1071,1046,1,15,0,0,1073.86,1034.37
2013-01-16,1046,1058,2,16,0,0,1075.29,1036.40
2013-01-19,1058,1065,5,19,1,0,1074.00,1037.37
2013-01-20,1065,1060,6,20,1,0,1074.00,1038.97
2013-01-21,1060,1039,0,21,0,1,1072.71,1040.97
2013-01-22,1039,1030,1,22,0,0,1073.43,1042.97
2013-01-23,1030,1020,2,23,0,0,1066.29,1044.27
2013-01-26,1020,1035,5,26,1,0,1052.71,1045.27
2013-01-27,1035,1024,6,27,1,0,1045.43,1045.63
2013-01-28,1024,1013,0,28,0,1,1043.86,1046.47
2013-01-30,1013,1035,2,30,0,0,1039.00,1046.70
2013-02-02,1035,1022,5,2,1,0,1031.57,1046.53
2013-02-03,1022,1003,6,3,1,0,1028.00,1047.40
2013-02-04,1003,1000,0,4,0,1,1025.57,1047.87
2013-02-05,1000,1014,1,5,0,0,1021.71,1047.73
2013-02-06,1014,1024,2,6,0,0,1018.86,1047.53
2013-02-09,1024,1020,5,9,1,0,1015.86,1047.77
2013-02-11,1020,1019,0,11,0,1,1015.86,1048.37
2013-02-12,1019,1009,1,12,0,0,1016.86,1048.87
2013-02-13,1009,1008,2,13,0,0,1014.57,1049.30
2013-02-16,1008,1006,5,16,1,0,1012.71,1048.27
2013-02-17,1006,1003,6,17,1,0,1013.43,1045.83
2013-02-18,1003,1003,0,18,0,1,1014.29,1041.90
2013-02-19,1003,1010,1,19,0,0,1012.71,1038.03
2013-02-20,1010,1010,2,20,0,0,1009.71,1036.10
2013-02-23,1010,1010,5,23,1,0,1008.29,1034.60
2013-02-24,1010,1004,6,24,1,0,1007.00,1033.00
2013-02-25,1004,1003,0,25,0,1,1007.14,1030.87
2013-02-26,1003,1019,1,26,0,0,1006.57,1029.17
2013-02-27,1019,1015,2,27,0,0,1006.14,1026.30
2013-03-02,1015,1001,5,2,1,0,1008.43,1022.77
2013-03-03,1001,1040,6,3,1,0,1010.14,1020.90
2013-03-04,1040,1061,0,4,0,1,1008.86,1019.40
2013-03-05,1061,1008,1,5,0,0,1013.14,1018.80
2013-03-06,1008,1000,2,6,0,0,1020.43,1018.67
2013-03-09,1000,1000,5,9,1,0,1021.00,1016.93
2013-03-10,1000,1000,6,10,1,0,1020.57,1015.63
2013-03-11,1000,1000,0,11,0,1,1017.86,1014.63
2013-03-12,1000,1016,1,12,0,0,1015.71,1013.97
2013-03-13,1016,1000,2,13,0,0,1015.57,1012.80
2013-03-16,1000,1008,5,16,1,0,1012.14,1012.53
2013-03-17,1008,1030,6,17,1,0,1003.43,1012.10
2013-03-18,1030,1040,0,18,0,1,1003.43,1011.20
2013-03-25,1040,1040,0,25,0,1,1007.71,1011.47
2013-03-26,1040,1038,1,26,0,0,1013.43,1012.70
2013-03-27,1038,1038,2,27,0,0,1019.14,1014.03
2013-03-30,1038,1035,5,30,1,0,1024.57,1014.83
2013-03-31,1035,1053,6,31,1,0,1027.71,1015.30
2013-04-03,1053,1049,2,3,0,0,1032.71,1015.80
2013-04-06,1049,1020,5,6,1,0,1039.14,1016.93
2013-04-07,1020,1020,6,7,1,0,1041.86,1018.27
